in_programs_tbl,post_code,Post ID,Permalink,post_name,month,day,year,post_normal_x,Type,Lifetime Post Total Impressions,Lifetime Total Video Views,Lifetime Unique Video Views
N,05312019_U,163815626997995_2247842851928585,https://www.facebook.com/C2ST1/posts/2247842851928585,U,5,31,2019,the chicago council on science and technology,1,226,26,25
N,04172019_U,163815626997995_2178121278900743,https://www.facebook.com/C2ST1/posts/2178121278900743,U,4,17,2019,the chicago council on science and technology,1,113,16,15
N,05172019_U,163815626997995_2224957224217148,https://www.facebook.com/C2ST1/posts/2224957224217148,U,5,17,2019,the chicago council on science and technology,1,200,36,34
N,03132019_U,163815626997995_2127857120593826,https://www.facebook.com/C2ST1/posts/2127857120593826,U,3,13,2019,[empty],1,480,155,148
N,03062019_U,163815626997995_2118764051503133,https://www.facebook.com/C2ST1/posts/2118764051503133,U,3,6,2019,[empty],1,540,148,139
N,02282019_U,163815626997995_567473160423691,https://www.facebook.com/C2ST1/videos/567473160423691/,U,2,28,2019,"resilience, empathy, and plasticity are important parts of the human experience, but how do these traits actually emerge biologically? renowned scientists, dr. dorothy kozlowski, dr. peggy mason, and dr. janice urban, will come together to discuss their groundbreaking work in neuroscience. discussions will focus on the biology of empathy and helping behavior in rats, the incredible ability of the brain to repair itself following traumatic injury, and how the brain develops a stress response and resilience.

join us at depaul university for a discussion of what role the brain has in resilience, empathy, and plasticity. a panel discussion with the scientists reflecting on how these traits have assisted them in their careers as women in neuroscience will follow.",2,1369,364,256
N,05142019_U,163815626997995_2220058584707012,https://www.facebook.com/C2ST1/posts/2220058584707012,U,5,14,2019,[empty],1,755,189,181
N,05202019_U,163815626997995_2230106330368904,https://www.facebook.com/C2ST1/posts/2230106330368904,U,5,20,2019,[empty],1,356,84,83
N,04032019_U,163815626997995_307786086550940,https://www.facebook.com/C2ST1/videos/307786086550940/,U,4,3,2019,"star wars – the fight of the light side of the force against the dark side – is a story that has fascinated us for the last 40 years. a crucial part of this story is the unbelievable scientific and technological advances – traveling through hyperspace, lightsabers, holograms, the discovery of habitable planets – that fill the universe. but are these advances really beyond our reach, or have we already surpassed some of them? are they even scientifically possible? if you want to hear the answers to these questions, join us for a lecture on the science behind star wars, and the physical laws that we have to “bend” to make them work.

this talk discusses the physical laws and concepts underlying the scientific advances portrayed in the star wars movies. it thus provides a connection between the popular ideas and visions of star wars and actual cutting edge science. it reviews the physics of

“the force” in the context of the standard model of high energy physics
“light sabers” in the context of electromagnetism, light waves and quantum mechanics
“faster than light travel” in the context of einstein’s special theory of relativity
“exoplanets and intelligent life” in the context of discovering exoplanets
“death star” in the context of gravitational energy
“robots and artificial intelligence” in the context of creating neural networks and computing power.",2,333,61,57
N,02122019_U,163815626997995_2086407854738753,https://www.facebook.com/C2ST1/posts/2086407854738753,U,2,12,2019,[empty],1,228,63,63
N,05302019_U,163815626997995_445879205974812,https://www.facebook.com/C2ST1/videos/445879205974812/,U,5,30,2019,"a recent breakthrough in our war against cancer is the development of therapies that harness our body’s immune system to seek out and destroy tumor cells. while such immunotherapies have significantly prolonged the life of some patients who had previously exhausted all treatment options, the majority of cancer patients still do not benefit from existing immunotherapies. thus, there is an urgent need to devise new therapies that can benefit a larger population of cancer patients. a better understanding of the body’s immune system is also very important for the prevention and treatment of a growing list of autoimmune and inflammatory diseases, such as lupus, arthritis and neurodegenerative diseases. in these diseases, the immune system misfires and attacks our own tissues. our immune system is also crucial for defending us from infections by a large variety of microbial pathogens, such as viruses, bacteria, and parasites.

key to our understanding of the immune system is how it detects microbial pathogens and cancer cells and how it avoids attacking our own tissues in normal situations. an important mechanism of this immune detection is the detection of dna from microbial pathogens and cancer cells. our lab discovered the dna sensing enzyme cgas and the pathway through which cgas launches immune and autoimmune responses. dr. chen will discuss the current status of immunotherapies and describe efforts in harnessing the cgas pathway to fight cancer and autoimmune diseases.

with an introduction by kenneth d. bahk, phd.

this program is generously supported by the ann lurie trust.",2,666,78,66
N,04042019_U,163815626997995_2158951957484342,https://www.facebook.com/C2ST1/posts/2158951957484342,U,4,4,2019,[empty],1,148,24,22
N,04242019_U,163815626997995_2188708107842060,https://www.facebook.com/C2ST1/posts/2188708107842060,U,4,24,2019,[empty],1,310,45,44
N,04032019_U,163815626997995_1039672012891508,https://www.facebook.com/C2ST1/videos/1039672012891508/,U,4,3,2019,"star wars – the fight of the light side of the force against the dark side – is a story that has fascinated us for the last 40 years. a crucial part of this story is the unbelievable scientific and technological advances – traveling through hyperspace, lightsabers, holograms, the discovery of habitable planets – that fill the universe. but are these advances really beyond our reach, or have we already surpassed some of them? are they even scientifically possible? if you want to hear the answers to these questions, join us for a lecture on the science behind star wars, and the physical laws that we have to “bend” to make them work.

this talk discusses the physical laws and concepts underlying the scientific advances portrayed in the star wars movies. it thus provides a connection between the popular ideas and visions of star wars and actual cutting edge science. it reviews the physics of

“the force” in the context of the standard model of high energy physics
“light sabers” in the context of electromagnetism, light waves and quantum mechanics
“faster than light travel” in the context of einstein’s special theory of relativity
“exoplanets and intelligent life” in the context of discovering exoplanets
“death star” in the context of gravitational energy
“robots and artificial intelligence” in the context of creating neural networks and computing power.",2,1278,225,196
N,02042019_U,163815626997995_2074830022563203,https://www.facebook.com/C2ST1/posts/2074830022563203,U,2,4,2019,[empty],1,184,29,28
N,03112019_U,163815626997995_2125544884158383,https://www.facebook.com/C2ST1/posts/2125544884158383,U,3,11,2019,[empty],1,293,44,42
