ProgramID,month,day,year,Program Title,program_type_id,fb_post,yt_video,Venue,Hours,Attendance (in seats),Live Stream,Male Speakers,Female Speakers,People of Color (informal),program_series_id
10052007_PS,10,5,2007,Anniversary of Sputnik,1,,,NU Thorne,1.5,150,0,0,0,0,1
10292007_PS,10,29,2007,Nasa Administrative Griffin,1,,,NU Thorne,1.5,131,0,0,0,0,1
02222008_SS,2,22,2008,Stem Cell,1,,,Co-Sponsor - All Day Event,1.5,100,0,0,0,0,2
03122008_SS,3,12,2008,Future of Science: Rosner,1,,,Cultural Center,1.5,50,0,1,0,0,2
09242008_SS,9,24,2008,Alan Leshner,1,,,NU Thorne,1.5,250,0,1,0,0,2
10102008_PS,10,10,2008,NASA Future Forum,1,,,Adler Planetarium/Co - Sponsor,1.5,200,0,0,0,0,1
10142008_LS,10,14,2008,EOL,1,,,Field Museum,1.5,35,0,1,0,0,4
11032008_CEE,11,3,2008,Archer Daniels Midland,1,,,NU Hughes,1.5,70,0,1,0,0,3
11202008_SS,11,20,2008,Digital Divide,1,,,Private Club Downtown,1.5,68,0,1,0,0,2
12102008_LS,12,10,2008,Bio Med - Mary Hendrix,1,,,NU Baldwin,1.5,100,0,0,1,0,4
01202009_CEE,1,20,2009,John Rowe,1,,,Palmer House,1.5,110,0,1,0,0,3
01262009_LS,1,26,2009,Bioterror,1,,,Harold Washington Library,1.5,170,0,0,0,0,4
02152009_PS,2,15,2009,Dark Matter/Dark Enery,1,,,Blackstone Hotel,1.5,215,0,3,0,0,1
03142009_LS,3,14,2009,Green Sahara: Paul Sereno,1,,,Francis Parker,1.5,600,0,1,0,0,4
04222009_LS,4,22,2009,Conservation: Debbie M,1,,,DePaul - Lincoln Park,1.5,60,0,0,1,0,4
05212009_LS,5,21,2009,Surgical Robotics,1,,,UIC,1.5,100,0,1,0,0,4
06082009_SS,6,8,2009,Art & Science,1,,,"Art Institute of Chicago, Fullerton Hall",1.5,70,0,1,2,0,2
09182009_SS,9,18,2009,Science and Technology Policy: A View from Washington DC,1,,,NW Thorne Auditorium,1.5,100,0,2,1,0,2
10142009_SS,10,14,2009,Molecular to Monumental: Rediscovering Lost Cultures from the Inside Out,1,,,"Art Institute of Chicago, Fullerton Hall",1.5,30,0,3,3,0,2
10222009_SS,10,22,2009,The State of Science Education: A Local and National Perspective,1,,,NW Hughes Auditorium,1.5,100,0,3,3,0,2
10262009_LS,10,26,2009,In the Family: How much do you Sacrifice to survive?,1,,,Gene Siskel Film Center,1.5,110,0,1,0,0,4
10282009_PS,10,28,2009,Hubble's Story,1,,,"School of the Art Institute, SAIC Ballroom",1.5,670,0,1,0,0,1
11122009_CEE,11,12,2009,Water: The New Oil?,1,,,NW Hughes Auditorium,1.5,37,0,0,1,0,3
12022009_LS,12,2,2009,Stem Cells & Nanotechnology: The Tools of Regenerative Medicine,1,,,"Palmer House, Hilton",1.5,60,0,2,0,0,4
12062009_CEE,12,6,2009,When Crocs Ate Dinosaurs,1,,,NW Thorne Auditorium,1.5,368,0,1,0,0,3
02182010_CEE,2,18,2010,Storing Alternative Energies,1,,,IIT McCloska Auditorium,1.5,215,0,3,0,0,3
03112010_SS,3,11,2010,Using Scientific Research to Fix Science Education,1,,,The University Club of Chicago,1.5,26,0,1,0,0,2
03312010_SS,3,31,2010,Member Networking Forum: The Public Education of Science,1,,,NW Hughes Auditorium,1.5,50,0,0,0,0,2
04062010_LS,4,6,2010,Asian Carp Invasion: Potential Economic and Ecological Impacts in the Great Lakes,1,,,Shedd Aquarium,1.5,150,0,5,0,0,4
04172010_SS,4,17,2010,Women in Science Symposium 2010: Building an Identity,1,,,NW Rubloff Hall,1.5,171,0,0,0,0,2
04212010_SS,4,21,2010,NAE Grand Challenges for the 21st Century: Chicago Summit 2010,1,,,Fairmont Hotel,1.5,500,0,0,0,0,2
05062010_CEE,5,6,2010,Mudball Earth,1,,,NW Hughes Auditorium,1.5,35,0,2,0,0,3
06052010_SS,6,5,2010,Leon Lederman,1,,,Michigan Ave,1.5,200,0,1,0,0,2
09072010_LS,9,7,2010,Disaster in the Gulf,1,,,NW Baldwin Auditorium,1.5,120,0,1,1,0,4
09212010_CEE,9,21,2010,Future Fuels,1,,,IIT McCloska Auditorium,1.5,70,0,3,0,0,3
10072010_CEE,10,7,2010,Climate Change in the Great Lakes Region,1,,,The Field Musuem,1.5,150,0,1,0,0,3
11162010_HW,11,16,2010,The Immortal Life of Henrietta Lacks,1,,,NW Thorne Auditorium,1.5,310,0,2,1,0,5
12092010_PS,12,9,2010,Chicago's Dark Matter: WIMPs of the Underground,1,,,NW Hughes Auditorium,1.5,150,0,3,0,0,1
01252011_PS,1,25,2011,The Moon,1,,,IIT McCloska Auditorium,1.5,75,0,0,0,0,1
02172011_TEI,2,17,2011,Cyber Scrty,1,,,NW Hughes Auditorium,1.5,65,0,2,0,0,6
02242011_CEE,2,24,2011,BP Oil Spill: The Casue and Prevention,1,,,IIT McCloska Auditorium,1.5,60,0,1,0,0,3
03102011_LS,3,10,2011,Drug Discovery: Ingenuity or Serendipity?,1,,,NW Hughes Auditorium,1.5,65,0,1,0,0,4
04162011_LS,4,16,2011,Panic Virus,1,,,MSI,1.5,40,0,1,0,0,4
04252011_CEE,4,25,2011,America's Energy Challenges,1,,,Harold Washington Library,1.5,120,0,1,0,0,3
04272011_LS,4,27,2011,Mind of the Chimpanzee,1,,,NW Hughes Auditorium,1.5,65,0,1,1,0,4
05252011_CEE,5,25,2011,Nuclear Proliferation,1,,,NW Hughes Auditorium,1.5,60,0,1,0,0,3
08052011_SS,8,5,2011,Tesla,1,,,NW Thorne Auditorium,1.5,320,0,3,0,0,2
09132011_TEI,9,13,2011,High Speed Rail,1,,,Harold Washington Library,1.5,84,0,3,0,0,6
09242011_SS,9,24,2011,Ask a Nobel,1,,,Michigan Ave,1.5,56,0,1,0,0,2
10132011_CEE,10,13,2011,Chicago's Water,1,,,Holiday Inn Chicago Mart Plaza,1.5,86,0,3,2,0,3
11132011_LS,11,13,2011,Gene Patenting,1,,,NW Hughes Auditorium,1.5,68,0,3,1,0,4
12012011_HW,12,1,2011,Science and Policy of Obesity,1,,,NW Hughes Auditorium,1.5,80,0,2,5,0,5
01192012_CEE,1,19,2012,Fracking,1,,,NW Hughes Auditorium,1.5,77,0,4,0,0,3
01312012_CEE,1,31,2012,Sustainable Energy,1,,,IIT McCloska Auditorium,1.5,81,0,1,0,0,3
02112012_SS,2,11,2012,The Believers,1,,,Gene Siskel Film Center,1.5,97,0,0,0,0,2
02232012_TEI,2,23,2012,Nanotechnology,1,,,NW Hughes Auditorium,1.5,69,0,2,0,0,6
03162012_PS,3,16,2012,About Time,1,,,NW Hughes Auditorium,1.5,53,0,1,0,0,1
03292012_CEE,3,29,2012,China's Clean Energy,1,,,NW Hughes Auditorium,1.5,55,0,2,0,0,3
04192012_LS,4,19,2012,Oceans' Health,1,,,NW Hughes Auditorium,1.5,52,0,2,1,0,4
05012012_PS,5,1,2012,CERN,1,,,Chicago Club,1.5,73,0,1,0,0,1
05122012_SS,5,12,2012,WiS 2012,1,,,NW Hughes Auditorium,1.5,210,0,0,12,6,2
09152012_SS,9,15,2012,Ask a Scientist at Argonne,1,,,Argonne National Laboratory,1.5,150,0,3,1,0,2
09202012_TEI,9,20,2012,America's Digital Tomorrow,1,,,Flashpoint Media Academy,1.5,55,0,1,0,0,6
10102012_SS,10,10,2012,CSI: Picasso,1,,,IIT McCloska Auditorium,1.5,40,0,0,2,0,2
10112012_PS,10,11,2012,Exploring the Universe from the Bottom of the World,1,,,"School of the Art Institute, SAIC Ballroom",1.5,95,0,1,0,0,1
11012012_SS,11,1,2012,Networking,1,,,Peggy Notebart Nature Museum,1.5,65,0,0,0,0,2
11082012_SS,11,8,2012,"Evidence, Crime and the Law",1,,,NW Hughes Auditorium,1.5,80,0,1,0,0,2
12042012_HW,12,4,2012,Alzheimer's and Aging,2,,,NW Lincoln Room,2,130,0,1,3,0,5
01252013_CEE,1,25,2013,"CP-1 Past, Present and Future of Nuclear Energy",1,,,NW Baldwin Auditorium,1.5,86,43,3,0,0,3
02212013_LS,2,21,2013,Bioluminescence,1,,,McDermott Will and Emery,1.5,97,43,1,0,0,4
02232013_SS,2,23,2013,Ted X Windy City Contrast,1,,,NW Thorne Auditorium,1.5,750,43,5,4,0,2
02232013_TEI,2,23,2013,Hackathon MonkeyBars' Spring Build,1,,,IIT Technology Park,1.5,150,43,0,0,0,6
03072013_SS,3,7,2013,"Spies, Satellites and Archaelogy",1,,,Oriental Institute at University of Chicago,1.5,41,43,1,0,0,2
03132013_SS,3,13,2013,Music and the Brain,1,,,NW Hughes Auditorium,1.5,62,43,1,1,0,2
03212013_TEI,3,21,2013,Economic Innovation,1,,,NW Lincoln Room,1.5,21,43,2,0,0,6
04032013_TEI,4,3,2013,Chemical Innovations,1,,,NW Baldwin Auditorium,1.5,28,132,1,0,0,6
08012013_PS,8,1,2013,Physics Baseball I,1,,,US Cellular Field,1.5,150,65,0,0,0,1
08022013_PS,8,2,2013,Physics Baseball II,1,,,US Cellular Field,1.5,142,0,1,0,0,1
09102013_TEI,9,10,2013,The Landscape of Techpark Innovation,1,,,1871,1.5,75,0,4,1,0,6
09242013_LS,9,24,2013,Out for the Sperm Count,1,,,NW Baldwin Auditorium,1.5,38,46,1,0,0,4
10242013_CEE,10,24,2013,The Price of Doing Nothing,1,,,NW Baldwin Auditorium,1.5,82,79,1,0,0,3
10292013_LS,10,29,2013,Science with the Pint: Our Curious Chemical World,1,,,Hopleaf Bar,1.5,25,0,2,1,0,4
11122013_TEI,11,12,2013,Epidermal Electronics,1,,,NW Baldwin Auditorium,1.5,85,130,1,0,0,6
11132013_SS,11,13,2013,FBI,1,,,Loyola,1.5,165,65,1,0,0,2
12112013_TEI,12,11,2013,Nano I,1,,,NW Hughes Auditorium,1.5,78,120,0,0,0,6
01222014_TEI,1,22,2014,The Order of Crystallography,1,,,NW Hughes Auditorium,1.5,38,40,2,0,0,6
01302014_TEI,1,30,2014,Nano 2 at Argonne,1,,,Argonne National Laboratory,1.5,120,24,0,1,0,6
02262014_LS,2,26,2014,Matter into Medicince,1,,,NW Hughes Auditorium,1.5,90,30,0,1,0,4
03122014_0,3,12,2014,IFSH - Is This Safe to Eat?,1,,,NW Hughes Auditorium,1.5,40,18,2,0,0,
04022014_PS,4,2,2014,Star Trek,1,,,UIC BSB room 250,1.5,125,48,1,0,0,1
04032014_LS,4,3,2014,Your Inner Fish,1,,,Reva and David Logan Center for the Arts,1.5,130,0,2,0,0,4
04302014_CEE,4,30,2014,The Multiplication of Threats,2,,,NW Hughes Auditorium,2,90,0,3,1,0,3
08232014_HW,8,23,2014,Biomechanics,1,,,Chicago Hilton South Loop,1.5,42,0,1,0,0,5
09082014_SS,9,8,2014,Superintelligence,1,,,NW Hughes Auditorium,1.5,80,11,1,0,0,2
09192014_PS,9,19,2014,Cinema Slapdown: Gravity,1,,,"Columbia College, Film Row Cinema",1.5,200,0,2,0,0,1
09202014_PS,9,20,2014,Community Cinema: Women In Space,1,,,"Chicago Cultural Center, Cassidy Theater",1.5,71,0,0,4,0,1
10212014_SS,10,21,2014,Science + Cinema,1,,,"Columbia College, Film Row Cinema",1.5,155,0,5,3,0,2
10292014_SS,10,29,2014,Future of Work,2,,,NW Hughes Auditorium,2,115,0,4,0,0,2
11122014_SS,11,12,2014,Decoding The New Science and Math Standards I,1,,,Skokie Public Library,1.5,50,2,0,0,0,2
11172014_CEE,11,17,2014,Nature's Fortune,1,,,Blackstone Hotel,1.5,90,0,0,0,0,3
11202014_SS,11,20,2014,Decoding The New Science and Math Standards II,1,,,NW Hughes Auditorium,1.5,32,0,3,2,0,2
12032014_SS,12,3,2014,Women in STEM: Connect,1,,,SAIC Ballroom,1.5,180,0,0,6,2,2
12092014_LS,12,9,2014,C2ST Speakeasy: The sex life of reptiles,3,,,Geek Bar Chicago Beta,1.5,27,0,0,1,1,4
02032015_LS,2,3,2015,C2ST Speakeasy: Thinking Outside the WEIRD: Variability in Human Biology,3,,,Geek Bar Chicago Beta,1.5,26,0,1,0,0,4
02032015_LS,2,3,2015,C2ST Speakeasy: Hot or Not? The biology of human attraction,3,,,Geek Bar Chicago Beta,1.5,24,0,1,0,0,4
02052015_HW,2,5,2015,How to be Healthy When You're Older,1,,,NW Hughes Auditorium,1.5,72,0,2,1,0,5
02112015_CEE,2,11,2015,Should America Launch a Major Push into Solar Energy?,1,,,IIT Perlstein Hall Auditorium,1.5,180,0,1,0,0,3
02122015_CEE,2,12,2015,Water: Chicago in the 21st Century and Beyond,1,,,NW Hughes Auditorium,1.5,130,0,2,1,0,3
02212015_SS,2,21,2015,American Denial,1,,,"Chicago Cultural Center, Cassidy Theater",1.5,164,0,0,1,0,2
03032015_PS,3,3,2015,C2ST Speakeasy: Vandals of the Void: Damaging Meteors from Chelyabinsk to Chicago,3,,,Geek Bar Chicago Beta,1.5,43,0,1,0,0,1
03122015_SS,3,12,2015,AICHE Engineering Career Day,4,,,"Hermann Hall, IIT",1.5,400,0,0,0,0,2
03252015_SS,3,25,2015,Music - There's a Science to That,1,,,The Ballroom at the School of the Art Institute of Chicago,1.5,85,34,3,0,0,2
04072015_HW,4,7,2015,C2ST Speakeasy: Biomedical Imaging and Personalized Medicine,3,,,Geek Bar Chicago Beta,1.5,56,0,1,0,0,5
04282015_HW,4,28,2015,The Threat of Superbugs,1,,,"Baldwin Auditorium, Northwestern University",1.5,54,120,4,1,0,5
05042015_LS,5,4,2015,"C2ST Speakeasy: Plants: How we Use 'Em, and How We Don't Lose 'Em",3,,,Geek Bar Chicago Beta,1.5,48,0,0,1,0,4
05132015_HW,5,13,2015,When Playing Sports is Bad For Your Brain,1,,,"Hughes Auditorium, Northwestern University",1.5,34,0,1,2,0,5
