in_programs_tbl,video_code,Video,video_title,month,day,year,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
N,09132014_U,7ZStUcT47Wo,Biomechanics of Running: The Science of Movement - Steven McCaw,9,13,2014,8893,1859.6632,62,87317,4.49
N,08132012_U,FjJCJY8TfIU,Women in Science Symposium 2012 Closing Keynote with Dr. Hafidi 05/12/12,8,13,2012,4583,539.1637,45,35696,7.95
Y,03232016_HW,bl2iGoOzB4o,The Science of Addiction,3,24,2016,3845,560.1713,13,6612,4.66
N,10122016_U,K6fK_LIcDGE,The Heart of Marine Biodiversity  Saving the Verde Island Passage Highlights,10,12,2016,3749,104.3245,10,23115,8.35
Y,09062017_PS,xt2wDYDLsx8,Fermilab and the New Frontiers of Physics,9,12,2017,3478,1583.7686,21,41121,3.9
Y,09282016_CEE,OzWgQOohnPQ,The Heart of Marine Biodiversity: Saving the Verde Island Passage,9,29,2016,3335,220.0881,8,24319,8.13
N,08182016_U,br8bKAZQf4s,The Secret Lives of Female Chimpanzees,8,18,2016,2968,269.9709,6,27661,4.76
N,06182018_U,zq6kgV1eoj4,The Origins of Genus Homo,6,18,2018,2849,915.6934,15,32987,3.51
N,07022020_U,GMjPSgtbYcM,Neutrino 2020 Physics Slam!,7,2,2020,1407,295.9676,17,20255,2.05
N,11072013_U,jVXIX9jc3dw,"The Physics of Baseball: ""You Can Observe A Lot By Watching"" - Alan Nathan",11,7,2013,970,220.5927,3,5306,3.83
Y,04112017_SS,LOnT_KfaIe0,Making Things Meaningful in the Ice Age,4,12,2017,967,232.974,0,8320,3.28
N,10042018_U,remxHrVqlIE,Head Banging: How Music and Concussions Impact Brain Health; An Interview with Dr. Nina  Kraus,10,4,2018,856,20.2479,0,8755,7.29
N,04152016_U,DU0QI2kspUI,The Myth of Brain Sex with Dr. Lise Eliot and Aaron Freeman,4,15,2016,769,40.5658,1,23766,0.77
N,12062015_U,xGhAFt6Rnno,"Interview with MK Czerwiec, AKA the Comic Nurse",12,6,2015,655,19.9356,0,1767,2.32
N,02212018_U,kd5qIL3NiXw,Science is for Everyone,2,21,2018,628,8.7798,0,1316,2.96
N,06272017_U,n7Zo80_zIKI,Lawrence Krauss: The Greatest Story Ever Told-So Far,6,27,2017,611,147.6286,4,8189,1.86
Y,10212015_SS,icgYtMYc_l0,Failure: Why Science is so Successful,12,3,2015,601,90.7597,3,2679,5.11
N,10192015_U,gsryRHogZak,What is the BRAIN Initiative? Highlights,10,19,2015,598,19.7404,6,3493,5.67
Y,04202017_CEE,x2LYZul94wQ,Extreme Science: The U.S. Antarctic Program,4,21,2017,595,61.4899,2,6725,3.45
N,10132017_U,31PpqzuUQRA,"Alesi: The Life, Death, and Discovery of an Ancestor",10,13,2017,589,117.1251,3,4674,3.81
N,01102020_U,zwNwtWWvsJw,Program: The Art of Logic with Dr. Eugenia Cheng,1,10,2020,515,72.6302,2,3390,3.36
N,09182017_U,cNOWIBUlrHM,"Curators: Behind The Scenes of Natural History Museums, an interview with Lance Grande",9,18,2017,506,11.9962,2,2997,6.24
N,01312012_U,n0jaEmeQujQ,Science of Obesity 12/1/11,1,31,2012,494,30.4939,1,1725,3.07
N,04192017_U,f-iEGz-81Z4,The Usefulness of Useless Knowledge Highlights With Robbert Dijkgraaf,4,19,2017,451,11.8598,1,5212,3.68
N,09132014_U,wSAW19RkjYY,Biomechanics of Running: The Science of Movement Highlight - Steven McCaw,9,13,2014,443,4.4225,0,2447,2.66
N,01312018_U,IXadTUdyWTk,Genes and Geography: Understanding Human Genetic Diversity,1,31,2018,396,65.7358,0,5659,2.62
N,03112013_U,831veYw5tcI,"Bioluminescence: Living Lights, Lights for Living - J. Woodland Hastings, Paul C. Mangelsdorf",3,11,2013,343,53.1075,3,5943,1.58
N,10272018_U,1bW8hFWs7vw,"Science Riot - Matthew Spenko, PhD",10,27,2018,342,20.0514,0,2655,4.03
N,11122013_U,Y9mEXrmOdwg,The Price of Doing Nothing: The World's Energy Future - George Crabtree,11,12,2013,327,72.0276,1,5021,2.57
N,03312017_U,kBVOh3H4XQU,The Physics of Baseball,3,31,2017,326,52.9144,0,1719,2.91
N,03112016_U,aIth9Jux9pg,The Future of Solar Energy with Robert Armstrong 03-02-2016,3,11,2016,304,51.493,0,5206,1.79
Y,08202020_LS,3CcSImls4Q8,The Study of Ancient DNA: Knowledge from Unexpected Sources,8,20,2020,300,61.9746,8,5619,1.42
