,ProgramID,month,day,year,Program Title,Program Series,Program Type Keys,Venue,Hours,Attendance (in seats),Live Stream,Male Speakers,Female Speakers,People of Color (informal)
0,100507-PS,10,05,2007,Anniversary of Sputnik,PS,1,NU Thorne,1.5,150,0,0,0,0
1,102907-PS,10,29,2007,Nasa Administrative Griffin,PS,1,NU Thorne,1.5,131,0,0,0,0
2,022208-SS,02,22,2008,Stem Cell,SS,1,Co-Sponsor - All Day Event,1.5,100,0,0,0,0
3,031208-SS,03,12,2008,Future of Science: Rosner,SS,1,Cultural Center,1.5,50,0,1,0,0
4,092408-SS,09,24,2008,Alan Leshner,SS,1,NU Thorne,1.5,250,0,1,0,0
5,101008-PS,10,10,2008,NASA Future Forum,PS,1,Adler Planetarium/Co - Sponsor,1.5,200,0,0,0,0
6,101408-LS,10,14,2008,EOL,LS,1,Field Museum,1.5,35,0,1,0,0
7,110308-CEE,11,03,2008,Archer Daniels Midland,CEE,1,NU Hughes,1.5,70,0,1,0,0
8,112008-SS,11,20,2008,Digital Divide,SS,1,Private Club Downtown,1.5,68,0,1,0,0
9,121008-LS,12,10,2008,Bio Med - Mary Hendrix,LS,1,NU Baldwin,1.5,100,0,0,1,0
10,012009-CEE,01,20,2009,John Rowe,CEE,1,Palmer House,1.5,110,0,1,0,0
11,012609-LS,01,26,2009,Bioterror ,LS,1,Harold Washington Library,1.5,170,0,0,0,0
12,021509-PS,02,15,2009,Dark Matter/Dark Enery,PS,1,Blackstone Hotel,1.5,215,0,3,0,0
13,031409-LS,03,14,2009,Green Sahara: Paul Sereno,LS,1,Francis Parker,1.5,600,0,1,0,0
14,042209-LS,04,22,2009,Conservation: Debbie M,LS,1,DePaul - Lincoln Park,1.5,60,0,0,1,0
15,052109-LS,05,21,2009,Surgical Robotics,LS,1,UIC,1.5,100,0,1,0,0
16,060809-SS,06,08,2009,Art & Science,SS,1,"Art Institute of Chicago, Fullerton Hall",1.5,70,0,1,2,0
17,091809-SS,09,18,2009,Science and Technology Policy: A View from Washington DC,SS,1,NW Thorne Auditorium,1.5,100,0,2,1,0
18,101409-SS,10,14,2009,Molecular to Monumental: Rediscovering Lost Cultures from the Inside Out,SS,1,"Art Institute of Chicago, Fullerton Hall",1.5,30,0,3,3,0
19,102209-SS,10,22,2009,The State of Science Education: A Local and National Perspective,SS,1,NW Hughes Auditorium,1.5,100,0,3,3,0
20,102609-LS,10,26,2009,In the Family: How much do you Sacrifice to survive? ,LS,1,Gene Siskel Film Center,1.5,110,0,1,0,0
21,102809-PS,10,28,2009,Hubble's Story,PS,1,"School of the Art Institute, SAIC Ballroom",1.5,670,0,1,0,0
22,111209-CEE,11,12,2009,Water: The New Oil?,CEE,1,NW Hughes Auditorium,1.5,37,0,0,1,0
23,120209-LS,12,02,2009,Stem Cells & Nanotechnology: The Tools of Regenerative Medicine,LS,1,"Palmer House, Hilton",1.5,60,0,2,0,0
24,120609-CEE,12,06,2009,When Crocs Ate Dinosaurs,CEE,1,NW Thorne Auditorium,1.5,368,0,1,0,0
25,021810-CEE,02,18,2010,Storing Alternative Energies,CEE,1,IIT McCloska Auditorium,1.5,215,0,3,0,0
26,031110-SS,03,11,2010,Using Scientific Research to Fix Science Education,SS,1,The University Club of Chicago,1.5,26,0,1,0,0
