Date,Program Title,Live Stream,YouTube Views,FB Views,Attendance (in seats),Hours,Program Series,Venue,Type of Program,Male Speakers,Female Speakers,People of Color (informal),# of Speakers,Partner/ event,Total Viewing,,,,,,
10/5/07,Anniversary of Sputnik,,,,150,1.5,PS,NU Thorne,Original,,,,,,150,,,,,,
10/29/07,Nasa Administrative Griffin,,,,131,1.5,PS,NU Thorne,Original,,,,,,131,,,,,,
2/22/08,Stem Cell,,,,100,1.5,SS,Co-Sponsor - All Day Event,Original,,,,,,100,,,,,,
3/12/08,Future of Science: Rosner,,,,50,1.5,SS,Cultural Center,Original,1,0,0,1,,50,,,,,,
5/5&7/08,Energy Colloquium ,,,,60,1.5,CEE,Exelon/Co-Sponsor,Original,,,,,,60,,,,,,
9/24/08,Alan Leshner,,,,250,1.5,SS,NU Thorne,Original,1,0,0,1,,250,,,,,,
10/10/08,NASA Future Forum,,,,200,1.5,PS,Adler Planetarium/Co - Sponsor,Original,,,,,,200,,,,,,
10/14/08,EOL,,,,35,1.5,LS,Field Museum,Original,1,0,0,1,,35,,,,,,
11/3/08,Archer Daniels Midland,,,,70,1.5,CEE,NU Hughes,Original,1,0,0,1,,70,,,,,,
11/20/08,Digital Divide,,,,68,1.5,SS,Private Club Downtown,Original,1,0,0,1,,68,,,,,,
12/10/08,Bio Med - Mary Hendrix,,,,100,1.5,LS,NU Baldwin,Original,0,1,0,1,,100,,,,,,
1/20/09,John Rowe,,,,110,1.5,CEE,Palmer House,Original,1,0,0,1,,110,,,,,,
1/26/09,Bioterror ,,,,170,1.5,LS,Harold Washington Library,Original,,,,,,170,,,,,,
2/15/09,Dark Matter/Dark Enery,,,,215,1.5,PS,Blackstone Hotel,Original,3,0,0,3,,215,,,,,,
3/14/09,Green Sahara: Paul Sereno,,,,600,1.5,LS,Francis Parker,Original,1,0,0,1,,600,,,,,,
4/22/09,Conservation: Debbie M,,,,60,1.5,LS,DePaul - Lincoln Park,Original,0,1,0,1,,60,,,,,,
5/21/09,Surgical Robotics,,,,100,1.5,LS,UIC,Original,1,0,0,1,,100,,,,,,
6/8/09,Art & Science,,,,70,1.5,SS,"Art Institute of Chicago, Fullerton Hall",Original,1,2,0,3,,70,,,,,,
9/18/09,Science and Technology Policy: A View from Washington DC,,,,100,1.5,SS,NW Thorne Auditorium,Original,2,1,0,3,,100,,,,,,
10/14/09,Molecular to Monumental: Rediscovering Lost Cultures from the Inside Out,,,,30,1.5,SS,"Art Institute of Chicago, Fullerton Hall",Original,3,3,0,6,,30,,,,,,
10/22/09,The State of Science Education: A Local and National Perspective,,,,100,1.5,SS,NW Hughes Auditorium,Original,3,3,0,6,,100,,,,,,
10/26/09,In the Family: How much do you Sacrifice to survive? ,,,,110,1.5,LS,Gene Siskel Film Center,Original,1,0,0,1,,110,,,,,,
10/28/09,Hubble's Story,,,,670,1.5,PS,"School of the Art Institute, SAIC Ballroom",Original,1,0,0,1,,670,,,,,,
11/12/09,Water: The New Oil?,,,,37,1.5,CEE,NW Hughes Auditorium,Original,0,1,0,1,,37,,,,,,
