Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,64118,9233.3971,461,725952,3.23
7ZStUcT47Wo,Biomechanics of Running: The Science of Movement - Steven McCaw,"Sep 13, 2014",8893,1859.6632,62,87317,4.49
FjJCJY8TfIU,Women in Science Symposium 2012 Closing Keynote with Dr. Hafidi 05/12/12,"Aug 13, 2012",4583,539.1637,45,35696,7.95
bl2iGoOzB4o,The Science of Addiction,"Mar 24, 2016",3845,560.1713,13,6612,4.66
K6fK_LIcDGE,The Heart of Marine Biodiversity  Saving the Verde Island Passage Highlights,"Oct 12, 2016",3749,104.3245,10,23115,8.35
xt2wDYDLsx8,Fermilab and the New Frontiers of Physics,"Sep 12, 2017",3478,1583.7686,21,41121,3.9
OzWgQOohnPQ,The Heart of Marine Biodiversity: Saving the Verde Island Passage,"Sep 29, 2016",3335,220.0881,8,24319,8.13
br8bKAZQf4s,The Secret Lives of Female Chimpanzees,"Aug 18, 2016",2968,269.9709,6,27661,4.76
zq6kgV1eoj4,The Origins of Genus Homo,"Jun 18, 2018",2849,915.6934,15,32987,3.51
GMjPSgtbYcM,Neutrino 2020 Physics Slam!,"Jul 2, 2020",1407,295.9676,17,20255,2.05
jVXIX9jc3dw,"The Physics of Baseball: ""You Can Observe A Lot By Watching"" - Alan Nathan","Nov 7, 2013",970,220.5927,3,5306,3.83
LOnT_KfaIe0,Making Things Meaningful in the Ice Age,"Apr 12, 2017",967,232.974,0,8320,3.28
remxHrVqlIE,Head Banging: How Music and Concussions Impact Brain Health; An Interview with Dr. Nina  Kraus,"Oct 4, 2018",856,20.2479,0,8755,7.29
DU0QI2kspUI,The Myth of Brain Sex with Dr. Lise Eliot and Aaron Freeman,"Apr 15, 2016",769,40.5658,1,23766,0.77
xGhAFt6Rnno,"Interview with MK Czerwiec, AKA the Comic Nurse","Dec 6, 2015",655,19.9356,0,1767,2.32
kd5qIL3NiXw,Science is for Everyone,"Feb 21, 2018",628,8.7798,0,1316,2.96
n7Zo80_zIKI,Lawrence Krauss: The Greatest Story Ever Told-So Far,"Jun 27, 2017",611,147.6286,4,8189,1.86
icgYtMYc_l0,Failure: Why Science is so Successful,"Dec 3, 2015",601,90.7597,3,2679,5.11
gsryRHogZak,What is the BRAIN Initiative? Highlights,"Oct 19, 2015",598,19.7404,6,3493,5.67
x2LYZul94wQ,Extreme Science: The U.S. Antarctic Program,"Apr 21, 2017",595,61.4899,2,6725,3.45
31PpqzuUQRA,"Alesi: The Life, Death, and Discovery of an Ancestor","Oct 13, 2017",589,117.1251,3,4674,3.81
zwNwtWWvsJw,Program: The Art of Logic with Dr. Eugenia Cheng,"Jan 10, 2020",515,72.6302,2,3390,3.36
cNOWIBUlrHM,"Curators: Behind The Scenes of Natural History Museums, an interview with Lance Grande","Sep 18, 2017",506,11.9962,2,2997,6.24
n0jaEmeQujQ,Science of Obesity 12/1/11,"Jan 31, 2012",494,30.4939,1,1725,3.07
f-iEGz-81Z4,The Usefulness of Useless Knowledge Highlights With Robbert Dijkgraaf,"Apr 19, 2017",451,11.8598,1,5212,3.68
wSAW19RkjYY,Biomechanics of Running: The Science of Movement Highlight - Steven McCaw,"Sep 13, 2014",443,4.4225,0,2447,2.66
IXadTUdyWTk,Genes and Geography: Understanding Human Genetic Diversity,"Jan 31, 2018",396,65.7358,0,5659,2.62
831veYw5tcI,"Bioluminescence: Living Lights, Lights for Living - J. Woodland Hastings, Paul C. Mangelsdorf","Mar 11, 2013",343,53.1075,3,5943,1.58
1bW8hFWs7vw,"Science Riot - Matthew Spenko, PhD","Oct 27, 2018",342,20.0514,0,2655,4.03
Y9mEXrmOdwg,The Price of Doing Nothing: The World's Energy Future - George Crabtree,"Nov 12, 2013",327,72.0276,1,5021,2.57
kBVOh3H4XQU,The Physics of Baseball,"Mar 31, 2017",326,52.9144,0,1719,2.91
aIth9Jux9pg,The Future of Solar Energy with Robert Armstrong 03-02-2016,"Mar 11, 2016",304,51.493,0,5206,1.79
3CcSImls4Q8,The Study of Ancient DNA: Knowledge from Unexpected Sources,"Aug 20, 2020",300,61.9746,8,5619,1.42
C-bVBEQJNs4,FAILURE: Why Science is so Successful - Highlights,"Nov 11, 2015",293,8.672,2,1073,4.1
MLcuPrwSajY,Indigenous Science: Ethnobotany and Conservation Practices,"Jan 23, 2019",288,30.1134,2,4874,1.56
kb_mGiGvZ1o,Tesla Lecture,"May 2, 2012",279,8.2026,1,2421,2.15
KH34H5IcUHo,"C2ST: Stem Cells & Nanotechnology :The tools of Regenerative methods- Kessler, Sam Stupp","Nov 7, 2013",257,25.3867,0,3464,2.11
IEZxVsYpmEA,About Time: Cosmology and Culture at the Twilight of the Big Bang  3/16/12  - Adam Frank,"May 9, 2012",255,50.1621,0,1377,2.69
958M_ihtk-k,An Evening Inside the Multiverse,"Jul 1, 2020",252,50.238,5,4389,1.71
C1NfFO3nWs8,Forensic Genomic Technologies: New Frontiers Bring New Considerations,"Jun 26, 2020",243,37.4757,4,2735,1.94
WWpdZ5-5VZE,"Superintelligence: Paths, Dangers, and Strategies Highlight - Nick Bostrom","Sep 16, 2014",235,9.1188,0,3662,1.99
bu92a659sZU,Science Riot -Stephanie Timpone,"Oct 27, 2018",231,13.4046,0,1596,5.33
SKMaKxb2b70,Interview: The Earliest Child The Significance of “Selam”,"Oct 25, 2019",227,10.1559,0,1249,1.6
lCA1sjg9o_A,The Usefulness of Useless Knowledge,"Apr 11, 2017",221,17.1245,3,2405,1.37
SWJjlrhBvDc,The Real Science Behind Star Trek - Dirk K. Morr,"Jun 3, 2014",215,21.6947,0,2558,2.35
k3MDYK3W7pE,Making Things Meaningful in the Ice Age Highlights With Margaret W. Conkey,"Apr 26, 2017",215,7.767,0,3009,1.46
9-c0LmhdBRQ,The Science of Star Wars Presentation,"May 5, 2019",206,24.3651,0,1111,1.53
B0uMII_u_C4,Science Riot - James Schwabacher,"May 24, 2018",204,13.7834,-1,546,2.56
E9AuEIUplp8,Physics of Baseball Highlights with Alan Nathan,"Apr 18, 2017",198,6.0201,0,1087,2.48
we32-od7vPI,"ChicaGO Science - Mary Bauer, C2ST, and HDMZ","Dec 4, 2015",195,4.1145,0,2658,1.35
kW2UHBcD8sk,CERN: What's it all about? 5/1/12 - Young- Kee Kim,"Jun 21, 2012",188,11.4823,1,3184,2.01
